月份,频道,行业大类,时长(分),投放占比
6,湖南卫视,饮料,705,0.3359
,湖南卫视,互联网,456,0.2171
,湖南卫视,化妆品/浴室用品,370,0.176
,湖南卫视,邮电通讯,147,0.0699
,湖南卫视,食品,113,0.0539
,湖南卫视,家用电器,86,0.0407
,湖南卫视,药品,82,0.0391
,湖南卫视,交通,61,0.029
,湖南卫视,娱乐及休闲,27,0.0128
,湖南卫视,清洁用品,23,0.0108
,湖南卫视,家居,17,0.0082
,湖南卫视,个人用品,15,0.0072
,湖南卫视,金融/投资行业,6,0.0028
,湖南卫视,数码/电脑/办公用品,4,0.0019
,湖南卫视,衣着,3,0.0015
7,湖南卫视,饮料,775,0.3873
,湖南卫视,互联网,397,0.1987
,湖南卫视,化妆品/浴室用品,212,0.1059
,湖南卫视,邮电通讯,178,0.0892
,湖南卫视,食品,102,0.0508
,湖南卫视,数码/电脑/办公用品,86,0.0432
,湖南卫视,娱乐及休闲,75,0.0373
,湖南卫视,个人用品,57,0.0285
,湖南卫视,清洁用品,37,0.0187
,湖南卫视,药品,35,0.0176
,湖南卫视,家用电器,23,0.0116
,湖南卫视,交通,22,0.011
,湖南卫视,衣着,9,0.0044
,湖南卫视,金融/投资行业,7,0.0037
8,湖南卫视,饮料,868,0.3772
,湖南卫视,互联网,515,0.2241
,湖南卫视,化妆品/浴室用品,332,0.1446
,湖南卫视,邮电通讯,164,0.0711
,湖南卫视,药品,87,0.038
,湖南卫视,数码/电脑/办公用品,87,0.0376
,湖南卫视,食品,76,0.033
,湖南卫视,娱乐及休闲,59,0.0255
,湖南卫视,交通,52,0.0228
,湖南卫视,个人用品,52,0.0228
,湖南卫视,清洁用品,33,0.0145
,湖南卫视,家用电器,14,0.0061
,湖南卫视,衣着,11,0.0049
,湖南卫视,金融/投资行业,8,0.0036
,湖南卫视,酒类,4,0.0015
,湖南卫视,家居,1,0.0002
9,湖南卫视,饮料,923,0.3694
,湖南卫视,互联网,541,0.2165
,湖南卫视,化妆品/浴室用品,268,0.1074
,湖南卫视,邮电通讯,231,0.0926
,湖南卫视,食品,213,0.0853
,湖南卫视,清洁用品,99,0.0394
,湖南卫视,药品,69,0.0275
,湖南卫视,交通,64,0.0255
,湖南卫视,个人用品,44,0.0177
,湖南卫视,衣着,38,0.0153
,湖南卫视,家用电器,36,0.0144
,湖南卫视,娱乐及休闲,23,0.009
,湖南卫视,金融/投资行业,4,0.0017
