植入方式,拼多多,网易云音乐,伊贝诗,百岁山,贝因美,味动力,vivo,每日鲜语,道道全,快手,10月小计,拼多多,网易云音乐,伊贝诗,百岁山,贝因美,味动力,vivo,每日鲜语,道道全,快手,11月小计,拼多多,网易云音乐,伊贝诗,百岁山,贝因美,味动力,vivo,每日鲜语,道道全,快手,12月小计
产品摆放,,,,1529,771,2215,87,268,5,,4875,,,,2679,1060,2100,62,683,12,,6596,,,,2242,523,1794,3,801,1,,5364
桌标,1342,,37,,81,6,,,,,1466,1901,,31,,293,,,,,28,2253,1427,,9,,179,,,,,,1615
灯箱,818,43,135,,351,804,501,45,848,,3545,488,573,34,,240,30,1345,347,1000,172,4229,1259,794,,,196,12,580,613,1067,574,5095
麦标,1117,,,,785,146,,,,,2048,1581,,,,1118,,311,,,,3010,1160,,,,939,,,,,54,2153
道具植入,666,84,60,116,590,485,184,125,70,,2380,385,716,99,440,997,754,103,117,73,103,3787,572,1329,15,208,664,512,106,98,80,114,3698
台牌,955,194,,,56,1093,,2,,,2300,577,706,,,46,917,,72,,,2318,486,1038,,,30,1082,,340,,,2976
大屏幕,75,2,1609,,79,773,398,3,22,,2961,118,30,1344,,178,381,616,10,43,573,3293,344,29,1509,,164,153,312,31,133,425,3100
手卡,82,,,,,,17,,,,99,61,,,,3,,38,,,,102,80,,,,,,39,,,,119
品牌提及,42,6,21,,19,4,13,5,8,,118,54,27,24,,26,1,28,6,10,,176,59,24,29,,16,5,19,12,14,13,191
背景植入,14,,1476,5,160,31,1,53,,,1740,114,5,1755,,530,28,,59,,114,2605,33,,1759,15,398,13,,146,,15,2379
主持人标准口播,35,,32,12,16,87,16,2,13,,213,36,,30,15,28,65,34,3,18,31,260,40,,24,14,21,54,16,5,14,30,218
互动口播空镜,,,,,,12,,,,,12,,,,,,10,3,1,,,14,,,,,,8,,5,,,13
置景口播空镜,12,6,,13,,44,10,4,4,,93,6,14,,20,,31,7,12,5,26,121,12,12,,16,,20,,20,4,20,104
电子屏,3,,,,,,,,,,3,7,,,,,,10,,,,17,16,,,,,,1,,,,17
地标,1,,24,,27,,,,,,52,1,,36,,52,,,,,17,106,,,2,,71,,,,,,73
玩偶形象,,,,,30,,,,,,30,,,,,45,,,,,999,1044,16,,,,157,,,,,934,1107
情景对话,12,,6,2,7,2,15,3,2,,49,4,13,,11,7,2,30,4,2,15,88,15,18,,5,4,4,8,8,2,13,77
花式口播,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,2
产品模型,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,1,,,,,1
产品使用,6,2,28,18,1,28,511,9,10,,613,1,4,,40,12,18,43,14,3,,135,2,,24,34,,8,29,25,3,8,133
情景植入,5180,337,3428,1695,2973,5730,1753,519,983,,,,,,32,,,,,,,32,,,,,,,,,,2,2
